"","Year","Site","Guild","n"
"94",2015,"Sloan","Bumble bee",7
"95",2015,"Sloan","Cavity nester",5
"96",2015,"Sloan","Cleptoparasite",2
"97",2015,"Sloan","Social ground-nester",144
"98",2015,"Sloan","Solitary ground-nester",73
"99",2016,"Bowman","Bumble bee",6
"100",2016,"Bowman","Cavity nester",1
"101",2016,"Bowman","Honey bee",2
"102",2016,"Bowman","Social ground-nester",23
"103",2016,"Bowman","Solitary ground-nester",47
"104",2016,"Cretsinger","Bumble bee",17
"105",2016,"Cretsinger","Cavity nester",21
"106",2016,"Cretsinger","Social ground-nester",287
"107",2016,"Cretsinger","Solitary ground-nester",77
"108",2016,"Kaldenberg","Bumble bee",7
"109",2016,"Kaldenberg","Cavity nester",19
"110",2016,"Kaldenberg","Cleptoparasite",2
"111",2016,"Kaldenberg","Social ground-nester",231
"112",2016,"Kaldenberg","Solitary ground-nester",49
"113",2016,"McClellan","Bumble bee",8
"114",2016,"McClellan","Cavity nester",1
"115",2016,"McClellan","Social ground-nester",151
"116",2016,"McClellan","Solitary ground-nester",51
"117",2016,"Peckumn","Bumble bee",17
"118",2016,"Peckumn","Cavity nester",25
"119",2016,"Peckumn","Cleptoparasite",6
"120",2016,"Peckumn","Honey bee",3
"121",2016,"Peckumn","Social ground-nester",216
"122",2016,"Peckumn","Solitary ground-nester",132
"123",2016,"Plunkett","Bumble bee",133
"124",2016,"Plunkett","Cavity nester",16
"125",2016,"Plunkett","Cleptoparasite",3
"126",2016,"Plunkett","Honey bee",3
"127",2016,"Plunkett","Social ground-nester",448
"128",2016,"Plunkett","Solitary ground-nester",201
"129",2016,"Sheller","Bumble bee",2
"130",2016,"Sheller","Cavity nester",6
"131",2016,"Sheller","Cleptoparasite",2
"132",2016,"Sheller","Social ground-nester",137
"133",2016,"Sheller","Solitary ground-nester",51
"134",2016,"Sloan","Bumble bee",2
"135",2016,"Sloan","Cavity nester",12
"136",2016,"Sloan","Cleptoparasite",1
"137",2016,"Sloan","Honey bee",1
"138",2016,"Sloan","Social ground-nester",210
"139",2016,"Sloan","Solitary ground-nester",73
